timestamp_utc,mode,rows_used,bucket_mix,train_rows,precision,recall,f1,avg_precision
2025-11-30T17:18:47.901368,full,159571,baseline (no augment),127656,0.92,0.602,0.727,0.857
2025-11-30T17:18:47.901368,full,159571,identity + sarcasm ×2,137721,0.917,0.605,0.729,0.858
2025-11-30T17:18:47.901368,full,159571,identity ×3,136590,0.916,0.607,0.73,0.857
2025-11-30T17:18:47.901368,full,159571,sarcasm ×3,138852,0.919,0.606,0.73,0.856
2025-11-30T17:18:47.901368,full,159571,threat ×2,129007,0.92,0.604,0.729,0.857
